Dataset	Algorithm	Optimization	Threads	Finished time (ms)	Combinations evaluated
20	single-spearman	opt-1	6	5182	10/196759
20	single-spearman	opt-2	6	5743	10/196759
20	single-spearman	opt-2	6	5889	10/196759
20	single-spearman	opt-2	6	5669	10/196759
20	single-spearman	opt-3	6	5766	10/196759
20	single-spearman	opt-3	6	5727	10/196759
20	single-spearman	opt-3	6	5715	10/196759
20	single-spearman	opt-4	6	5560	10/196759
20	single-spearman	opt-4	6	5845	10/196759
20	single-spearman	opt-4	6	5729	10/196759
20	single-spearman	R_WGCNA	6	32746	180/196759 
20	single-spearman	R_WGCNA	6	32935	180/196759 
20	single-spearman	R_WGCNA	6	32692	180/196759 
20	single-pearson	base	8	1640	10/196759
20	single-pearson	base	8	1656	10/196759
20	single-pearson	base	8	1684	10/196759
20	single-pearson	opt-1	8	481	10/196759
20	single-pearson	opt-1	8	477	10/196759
20	single-pearson	opt-1	8	466	10/196759
20	single-pearson	opt-2	8	451	10/196759
20	single-pearson	opt-2	8	466	10/196759
20	single-pearson	opt-2	8	449	10/196759
20	single-pearson	opt-3	8	461	10/196759
20	single-pearson	opt-3	8	467	10/196759
20	single-pearson	opt-3	8	491	10/196759
20	single-pearson	opt-4	8	460	10/196759
20	single-pearson	opt-4	8	471	10/196759
20	single-pearson	opt-4	8	453	10/196759
20	single-pearson	opt-7	8	313	10/196759
20	single-pearson	opt-7	8	309	10/196759
20	single-pearson	opt-7	8	300	10/196759
20	single-pearson	R_WGCNA	8	1412	84/196759 
20	single-pearson	R_WGCNA	8	1085	84/196759 
20	single-pearson	R_WGCNA	8	776.999999999999	84/196759 
20	single-kendalls	base	8	16349	0/196759
20	single-kendalls	base	8	16285	0/196759
20	single-kendalls	base	8	16179	0/196759
20	single-kendalls	opt-1	8	4124	0/196759
20	single-kendalls	opt-1	8	4085	0/196759
20	single-kendalls	opt-1	8	4191	0/196759
20	single-kendalls	opt-2	8	4247	0/196759
20	single-kendalls	opt-2	8	4113	0/196759
20	single-kendalls	opt-2	8	4062	0/196759
20	single-kendalls	opt-3	8	4307	0/196759
